%eval_id interface log__t_recession_soil log__t_recession_intermediate log__t_recession_deep f_exfiltration_soil f_exfiltration_intermediate PDD_melt_factor recession_b_soil log__fdd_threshold neg_kge        
1        I1         2.506172757    3.001925911    4.56279257     0.08187029442  0.1117894441   0.9572361427   3.81835422     1.974810004    1.285311742    
2        I1         3.960592963    3.375641144    4.329993795    0.7426416074   0.7193760053   3.697353834    1.601842645    0.2342803905   1.439467819    
3        I1         3.64182676     1.675014969    3.708914537    0.4832078674   0.0890321183   4.331382158    1.738973243    0.4107358551   1.097527543    
4        I1         4.444522133    2.466688338    4.090689889    0.3240121076   0.04916239375  5.190489881    1.927126987    2.991132966    1.257832525    
5        I1         2.805916008    2.44538112     3.893108868    0.2578996488   0.4326145925   4.286154237    5.443402785    2.116017835    0.5630409471   
6        I1         3.243920644    3.12097754     3.541364796    0.6602045533   0.2052308283   5.08417707     4.377266686    0.9477062294   0.3147052957   
7        I1         3.360102515    2.892347616    3.99823988     0.368880236    0.9170078746   0.4714102173   2.050071966    1.000439065    0.8220821382   
8        I1         2.334402358    3.009355793    3.796296287    0.7300191398   0.4387943063   9.121403494    5.421167017    1.066911655    0.5746139871   
9        I1         3.387314999    2.851031158    4.432171739    0.3745234011   0.9751072237   0.1747179927   5.619102955    1.763299569    0.7312833362   
10       I1         1.048812386    3.227580738    4.176258382    0.3637232882   0.4543216541   5.656863288    4.659102621    0.4341217125   0.8145317837   
11       I1         2.772149846    2.881848821    3.917340438    0.3820957175   0.03786302582  7.990311883    5.518346943    0.3854786578   0.4955485369   
12       I1         4.297127695    2.827790624    4.48176922     0.2137834302   0.4023888976   3.831712223    3.757490202    1.446196789    1.01363256     
13       I1         2.609437255    1.174471905    3.992601579    0.8439753187   0.4692989556   5.581352577    5.871506125    1.276744053    0.891974622    
14       I1         3.761294158    3.55603549     4.578774884    0.5788593947   0.5611679837   1.177112345    4.421276697    1.956144609    1.145253182    
15       I1         3.181082234    1.308164404    4.386013343    0.2997027545   0.6515158266   4.894030408    3.903865097    1.514952042    0.655008886    
16       I1         4.0387544      4.342212523    3.779618818    0.5035474146   0.172586491    8.935380853    4.346777108    2.721607916    0.417974963    
17       I1         1.69257658     1.771736516    4.808364715    0.4257638904   0.2717204916   3.215896412    4.520370033    2.340169959    1.780380174    
18       I1         3.908347021    3.59871733     4.297313474    0.8888690782   0.136307493    8.49266892     5.913164483    2.079389505    0.5020651371   
19       I1         1.82280631     1.965932345    4.510456334    0.941346387    0.3801969768   9.496401716    1.953929267    0.9863965661   1.184197877    
20       I1         1.455589026    3.758403617    4.868518716    0.02682032949  0.5056121611   9.435916875    4.196678741    1.296136568    1.813574018    
